Time,Quiet,Active,Jailed
0,897,0,0
1,404,315,121
2,154,447,239
3,163,329,348
4,167,220,453
5,171,115,554
6,245,1,580
7,247,0,575
8,265,0,557
9,271,0,549
10,289,0,529
11,307,0,511
12,318,0,496
13,329,0,483
14,340,0,468
15,353,0,453
16,366,0,436
17,373,1,425
18,389,0,408
19,404,0,392
20,418,0,374
21,427,0,361
22,424,0,361
23,449,0,335
24,464,0,319
25,488,0,293
26,498,0,281
27,511,0,266
28,533,0,241
29,541,0,232
30,550,0,222
31,555,1,212
32,566,0,199
33,583,0,181
34,576,0,186
35,586,0,175
36,586,0,174
37,586,0,174
38,583,0,177
39,588,0,172
40,582,0,178
41,583,0,177
42,581,0,179
43,592,0,168
44,587,0,173
45,585,0,175
46,587,0,173
47,587,0,173
48,585,0,175
49,580,0,180
50,584,0,176
51,585,0,175
52,583,0,177
53,587,0,173
54,585,0,175
55,588,0,172
56,583,0,177
57,582,0,178
58,594,0,166
59,589,0,171
60,587,0,173
61,587,0,173
62,587,0,173
63,588,0,172
64,586,0,174
65,585,0,175
66,583,0,177
67,592,0,168
68,586,0,174
69,585,0,175
70,587,1,172
71,591,0,169
72,588,0,172
73,588,0,172
74,586,0,174
75,584,0,176
76,587,0,173
77,585,0,175
78,589,0,171
79,587,0,173
80,580,0,180
81,588,0,172
82,587,0,173
83,593,0,167
84,591,0,169
85,589,0,171
86,588,0,172
87,589,0,171
88,587,0,173
89,583,0,177
90,582,0,178
91,589,0,171
92,593,0,167
93,594,0,166
94,587,0,173
95,582,0,178
96,588,0,172
97,591,0,169
98,581,0,179
99,587,0,173
100,590,0,170
101,587,0,173
102,593,0,167
103,583,0,177
104,581,0,179
105,583,0,177
106,584,0,176
107,586,0,174
108,586,0,174
109,581,0,179
110,583,0,177
111,586,0,174
112,584,1,175
113,586,0,174
114,583,0,177
115,587,0,173
116,579,0,181
117,583,0,177
118,580,0,180
119,584,0,176
120,584,0,176
121,581,1,178
122,586,0,174
123,589,0,171
124,585,0,175
125,583,1,176
126,588,0,172
127,593,0,167
128,590,0,170
129,586,0,174
130,590,0,170
131,586,0,174
132,586,0,174
133,593,0,167
134,586,0,174
135,588,0,172
136,583,0,177
137,582,0,178
138,587,0,173
139,588,0,172
140,586,0,174
141,589,0,171
142,580,0,180
143,581,0,179
144,585,0,175
145,579,0,181
146,583,0,177
147,579,0,181
148,581,0,179
149,587,0,173
150,582,0,178
151,584,0,176
152,582,0,178
153,590,0,170
154,587,0,173
155,587,0,173
156,589,0,171
157,584,0,176
158,596,0,164
159,584,0,176
160,584,0,176
161,592,0,168
162,578,0,182
163,585,1,174
164,583,0,177
165,586,0,174
166,581,0,179
167,580,0,180
168,580,0,180
169,584,1,175
170,586,0,174
171,584,0,176
172,585,0,175
173,587,0,173
174,586,0,174
175,583,0,177
176,582,1,177
177,580,0,180
178,584,0,176
179,577,0,183
180,582,0,178
181,584,0,176
182,585,0,175
183,586,0,174
184,581,0,179
185,586,0,174
186,582,0,178
187,588,0,172
188,588,0,172
189,583,0,177
190,584,0,176
191,587,0,173
192,587,0,173
193,591,0,169
194,585,0,175
195,595,0,165
196,592,0,168
197,591,0,169
198,589,0,171
199,585,0,175
200,589,0,171
