Time,Quiet,Active,Jailed
0,992,0,0
1,342,425,225
2,118,453,421
3,144,257,591
4,254,38,700
5,340,3,649
6,403,4,585
7,446,4,542
8,524,3,465
9,567,1,424
10,609,7,376
11,565,10,417
12,578,7,407
13,580,3,409
14,575,5,412
15,596,3,393
16,608,2,382
17,616,3,373
18,646,5,341
19,601,5,386
20,591,5,396
21,564,3,425
22,582,0,410
23,583,3,406
24,595,5,392
25,552,6,434
26,567,3,422
27,594,2,396
28,613,1,378
29,604,5,383
30,574,2,416
31,604,2,386
32,620,4,368
33,599,3,390
34,542,13,437
35,527,3,462
36,573,1,418
37,575,5,412
38,633,5,354
39,551,11,430
40,594,2,396
41,601,4,387
42,635,1,356
43,634,2,356
44,597,3,392
45,609,4,379
46,593,3,396
47,510,25,457
48,548,7,437
49,562,3,427
50,549,1,442
51,583,4,405
52,591,1,400
53,604,4,384
54,627,4,361
55,581,5,406
56,596,3,393
57,582,4,406
58,581,7,404
59,566,5,421
60,572,4,416
61,602,2,388
62,594,1,397
63,616,2,374
64,612,5,375
65,626,5,361
66,605,5,382
67,592,1,399
68,570,2,420
69,571,2,419
70,583,2,407
71,601,4,387
72,603,2,387
73,607,1,384
74,585,3,404
75,591,5,396
76,563,3,426
77,605,2,385
78,601,4,387
79,606,6,380
80,612,2,378
81,538,14,440
82,563,4,425
83,602,0,390
84,607,1,384
85,612,3,377
86,641,3,348
87,587,4,401
88,582,4,406
89,579,2,411
90,602,2,388
91,590,5,397
92,610,3,379
93,614,7,371
94,611,4,377
95,616,7,369
96,572,6,414
97,573,6,413
98,558,4,430
99,580,2,410
100,587,2,403
101,616,1,375
102,594,3,395
103,620,1,371
104,570,5,417
105,523,9,460
106,575,3,414
107,578,2,412
108,568,3,421
109,594,4,394
110,639,5,348
111,551,21,420
112,596,5,391
113,571,8,413
114,563,4,425
115,556,3,433
116,608,1,383
117,587,4,401
118,614,1,377
119,618,4,370
120,593,5,394
121,601,9,382
122,566,8,418
123,582,3,407
124,611,1,380
125,569,5,418
126,576,5,411
127,573,5,414
128,618,3,371
129,600,7,385
130,608,4,380
131,593,5,394
132,566,7,419
133,562,4,426
134,551,4,437
135,585,4,403
136,589,4,399
137,589,6,397
138,610,5,377
139,618,3,371
140,581,5,406
141,568,4,420
142,567,5,420
143,573,1,418
144,617,4,371
145,558,12,422
146,512,8,472
147,520,3,469
148,586,1,405
149,567,5,420
150,589,5,398
151,575,4,413
152,590,1,401
153,592,2,398
154,567,2,423
155,542,2,448
156,579,2,411
157,589,1,402
158,608,2,382
159,570,6,416
160,556,6,430
161,589,3,400
162,607,2,383
163,613,1,378
164,575,6,411
165,577,3,412
166,539,10,443
167,579,3,410
168,582,3,407
169,595,3,394
170,604,4,384
171,642,3,347
172,554,11,427
173,549,13,430
174,574,4,414
175,563,2,427
176,588,0,404
177,624,2,366
178,571,3,418
179,589,1,402
180,582,3,407
181,581,7,404
182,551,5,436
183,580,3,409
184,582,5,405
185,560,1,431
186,596,0,396
187,600,2,390
188,592,4,396
189,602,2,388
190,516,19,457
191,561,5,426
192,562,6,424
193,588,5,399
194,612,4,376
195,608,1,383
196,626,1,365
197,620,6,366
198,592,4,396
199,588,3,401
200,521,12,459
